no,korean,english,region
1 ,미국,United States ,북미
2 ,캐나다,Canada ,북미
3 ,일본,Japan ,아시아
4 ,인도,India ,아시아
5 ,인도네시아,Indonesia ,아시아
6 ,한국,South Korea ,아시아
7 ,캄보디아,Cambodia ,아시아
8 ,싱가폴,Singapore,아시아
9 ,스리랑카,Sri Lanka ,아시아
10 ,타이,Thailand ,아시아
11 ,중국,China ,아시아
12 ,네팔,Nepal ,아시아
13 ,방글라데시,Bangladesh ,아시아
14 ,파키스탄,Pakistan ,아시아
15 ,동 티모르,Timor-Leste ,아시아
16 ,필리핀,Philippines ,아시아
17 ,브루나이,Brunei Darussalam ,아시아
18 ,부탄,Bhutan ,아시아
19 ,베트남,Vietnam ,아시아
20,말레이시아,Malaysia ,아시아
21 ,미얀마,Myanmar ,아시아
22 ,몰디브,Maldives ,아시아
23 ,몽골,Mongolia ,아시아
24 ,라오스,Lao PDR ,아시아
25 ,북한,North Korea ,아시아
26 ,대만,Taiwan ,아시아
27 ,홍콩,Hong Kong ,아시아
28 ,마카오,Macao ,아시아
29 ,알제리,Algeria ,아프리카
30 ,앙골라,Angola ,아프리카
31 ,우간다,Uganda ,아프리카
32 ,이집트,Egypt ,아프리카
33 ,에티오피아,Ethiopia ,아프리카
34 ,에리트레아,Eritrea ,아프리카
35 ,카메룬,Cameroon ,아프리카
36 ,카보 베르데,Cape Verde ,아프리카
37 ,가봉,Gabon ,아프리카
38 ,감비아,The Gambia ,아프리카
39 ,가나,Ghana ,아프리카
40 ,기니,Guinea ,아프리카
41 ,기니 비사우,Guinea-Bissau ,아프리카
42 ,케냐,Kenya ,아프리카
43 ,코모로,Comoros ,아프리카
44 ,콩고 (구 자이레),Democratic Republic of the Congo ,아프리카
45 ,콩고 공화국,Republic of Congo ,아프리카
46 ,코트 디부 아르,Cote d' Ivoire ,아프리카
47 ,상투 메,Sao Tome and Principe ,아프리카
48 ,잠비아,Zambia ,아프리카
49 ,리온,Sierra Leone ,아프리카
50 ,지부티,Djibouti ,아프리카
51 ,짐바브웨,Zimbabwe ,아프리카
52 ,스와질란드,Swaziland,아프리카
53 ,수단,Sudan ,아프리카
54 ,적도 기니,Equatorial Guinea ,아프리카
55 ,세네갈,Senegal ,아프리카
56 ,세이셸,Seychelles ,아프리카
57 ,소말리아,Somalia ,아프리카
58 ,탄자니아,Tanzania ,아프리카
59 ,차드,Chad ,아프리카
60 ,중앙 아프리카,Central African Republic ,아프리카
61 ,튀니지,Tunisia ,아프리카
62 ,토고,Togo ,아프리카
63 ,나이지리아,Nigeria ,아프리카
64 ,나미비아,Namibia ,아프리카
65 ,니제르,Niger ,아프리카
66 ,부르 키나 파소,Burkina Faso ,아프리카
67 ,부룬디,Burundi ,아프리카
68 ,베냉,Benin ,아프리카
69 ,보츠와나,Botswana ,아프리카
70 ,마다가스카르,Madagascar ,아프리카
71 ,말라위,Malawi ,아프리카
72 ,마리,Mali ,아프리카
73 ,남아프리카 공화국,South Afr​​ica,아프리카
74 ,남 수단,South Sudan,아프리카
75 ,모잠비크,Mozambique ,아프리카
76 ,모로코,Morocco ,아프리카
77 ,모리셔스,Mauritius ,아프리카
78 ,모리타니,Mauritania ,아프리카
79 ,리비아,Libya ,아프리카
80 ,라이베리아,Liberia ,아프리카
81 ,르완다,Rwanda ,아프리카
82 ,레소토,Lesotho ,아프리카
83 ,호주,Australia ,오세아니아
84 ,키리바시,Kiribati ,오세아니아
85 ,쿡 제도,Cook Islands,오세아니아
86 ,사모아,Samoa ,오세아니아
87 ,솔로몬 제도,Solomon Islands ,오세아니아
88 ,투발루,Tuvalu ,오세아니아
89 ,통가,Tonga ,오세아니아
90 ,나우루,Nauru ,오세아니아
91 ,뉴질랜드,New Zealand ,오세아니아
92 ,바누아투,Vanuatu ,오세아니아
93 ,파푸아 뉴기니,Papua New Guinea ,오세아니아
94 ,팔라우,Palau ,오세아니아
